,Unnamed: 0,signature size,amount of conditonals,index ckb,index query,compile time ckb (ms),compile time query (ms),solve time query (ms),result c representation,result system z,result system p
23555,23555,100,100,78,15,73343.52648298438,24080.026123046875,370788.535073,sat,False,False
22715,22715,100,100,36,15,92985.79928525,75153.4833984375,354742.986098,sat,False,False
18778,18778,80,80,38,19,113293.51162292188,8550.040771484375,335614.76323,unsat,True,False
18555,18555,80,80,27,16,58176.24490814062,1566.756591796875,331051.366702,sat,False,False
21730,21730,90,90,87,10,582099.0346640156,248.71484375,328240.522214,unsat,True,False
17361,17361,70,70,68,2,28046.21523865625,4018.184326171875,327359.8085,sat,False,False
22381,22381,100,100,20,1,71023.37912317188,1163.86181640625,310596.033556,sat,False,False
22391,22391,100,100,20,11,71023.37912317188,3956.354736328125,307766.487486,sat,False,False
21725,21725,90,90,87,5,582099.0346640156,68.504638671875,301421.940076,unsat,True,False
22392,22392,100,100,20,12,71023.37912317188,2634.9599609375,293751.276283,sat,True,False
19048,19048,80,80,52,9,85190.3261888125,4922.329833984375,292776.095506,unsat,True,True
20233,20233,90,90,11,14,59286.05302404687,556.8017578125,281703.987878,sat,False,False
19436,19436,80,80,71,17,23207.98653109375,1750.371826171875,275531.612994,unsat,True,False
20936,20936,90,90,47,16,99079.34025745312,3095.431640625,270020.450363,sat,False,False
21155,21155,90,90,58,15,70229.48912154688,608.874267578125,269709.981082,sat,False,False
17932,17932,70,70,96,13,134055.86528284376,70.634033203125,266313.71255,unsat,True,False
22396,22396,100,100,20,16,71023.37912317188,5075.179931640625,265073.923856,sat,False,False
15816,15816,60,60,90,17,43804.2532013125,35.10400390625,261148.910487,sat,False,False
23770,23770,100,100,89,10,157355.61951657812,9845.37646484375,258457.397274,unsat,True,False
18556,18556,80,80,27,17,58176.24490814062,675.288818359375,254952.757319,sat,False,False
22399,22399,100,100,20,19,71023.37912317188,504.66845703125,253899.668863,sat,True,False
18557,18557,80,80,27,18,58176.24490814062,19.157470703125,253595.045798,sat,False,False
17931,17931,70,70,96,12,134055.86528284376,13004.10986328125,250682.432894,sat,False,False
15819,15819,60,60,90,20,43804.2532013125,2440.37109375,249746.965113,sat,False,False
19515,19515,80,80,75,16,87063.69877489062,179.58056640625,248408.888833,sat,False,False
20934,20934,90,90,47,14,99079.34025745312,381.116943359375,241417.521358,sat,False,False
21144,21144,90,90,58,4,70229.48912154688,118.6005859375,237966.534066,sat,False,False
20222,20222,90,90,11,3,59286.05302404687,556.491455078125,237948.849751,sat,False,False
14923,14923,60,60,46,4,46906.98059201562,798.29248046875,221197.030615,sat,False,False
18550,18550,80,80,27,11,58176.24490814062,1781.535400390625,218115.453684,sat,False,False
22938,22938,100,100,47,18,401509.2392642969,18039.006591796875,207825.268153,unsat,True,False
14936,14936,60,60,46,17,46906.98059201562,646.48583984375,202213.581331,unsat,True,False
15812,15812,60,60,90,13,43804.2532013125,1338.0478515625,201727.290506,sat,True,False
21240,21240,90,90,62,20,108985.78918760938,43137.18383789063,201453.068341,unsat,True,False
17601,17601,70,70,80,2,42502.6234229375,82.212158203125,193546.439668,unsat,True,True
18541,18541,80,80,27,2,58176.24490814062,15782.536865234377,190319.005364,sat,False,False
23550,23550,100,100,78,10,73343.52648298438,13170.70654296875,189630.763173,sat,False,False
19055,19055,80,80,52,16,85190.3261888125,3963.49072265625,186147.392113,unsat,True,False
21151,21151,90,90,58,11,70229.48912154688,1851.072998046875,184246.087339,sat,False,False
22936,22936,100,100,47,16,401509.2392642969,9794.329345703123,176342.238424,unsat,True,False
22921,22921,100,100,47,1,401509.2392642969,5939.9970703125,175310.329766,unsat,True,True
18771,18771,80,80,38,12,113293.51162292188,15187.132080078123,174896.885776,sat,False,False
18587,18587,80,80,29,8,131450.8439888906,182.44677734375,171874.161831,unsat,True,False
14929,14929,60,60,46,10,46906.98059201562,372.533203125,170982.731824,sat,False,False
23918,23918,100,100,96,18,78889.51592070312,2077.511962890625,170398.98245,unsat,False,False
19510,19510,80,80,75,11,87063.69877489062,6111.80029296875,169881.215421,sat,False,False
15810,15810,60,60,90,11,43804.2532013125,2034.641357421875,169352.184517,unsat,True,False
17372,17372,70,70,68,13,28046.21523865625,4010.10888671875,162592.715425,sat,False,False
21289,21289,90,90,65,9,97025.01137295311,7017.65966796875,160390.188195,sat,False,False
16363,16363,70,70,18,4,58364.90614904688,172.873779296875,159092.430976,sat,False,False
22442,22442,100,100,23,2,45375.620567375,16393.74365234375,158094.62587,sat,False,False
21297,21297,90,90,65,17,97025.01137295311,450.154296875,149473.195191,sat,False,False
19050,19050,80,80,52,11,85190.3261888125,384.716796875,149230.838555,sat,False,False
19059,19059,80,80,52,20,85190.3261888125,468.381591796875,148683.113051,unsat,True,False
15804,15804,60,60,90,5,43804.2532013125,6583.1123046875,148026.798574,sat,False,False
17364,17364,70,70,68,5,28046.21523865625,2337.014404296875,145695.987622,sat,False,False
22939,22939,100,100,47,19,401509.2392642969,155013.77172851562,143954.612207,unsat,True,False
16361,16361,70,70,18,2,58364.90614904688,799.086669921875,139585.759415,sat,False,False
17928,17928,70,70,96,9,134055.86528284376,5096.108642578125,138766.998959,sat,False,False
19047,19047,80,80,52,8,85190.3261888125,3324.17626953125,138418.769434,unsat,True,False
