,index,result,preprocessing_time,inference_time,translation_time,preprocessing_timeout,inference_timeout,belief_base,queries,query,inference_system,solver,optimizer
3514,7.0,False,0.0,9773.1,0.6,False,False,randomTest_100_120_94,,"((((xelxrz;vrpxxx),rpfbpn),(!(oekuxc;dkzfxo)))|((!(ottssw;mtjrcq));(((!ojtdos),(!bhlzoz));piuglv)))",c-inference,z3,rc2
2969,1.0,False,64685.90000000001,9168.8,2705.3,False,False,randomTest_100_120_5,,"(cznnkk|((tbhmwr,(vzaoxq;hkgyvz)),owdgqk))",c-inference,z3,rc2
3053,2.0,True,0.0,7698.1,0.9,False,False,randomTest_100_120_16,,"(ynjnit|((pjlhlp,((gcyddr;diudcm);(tnehww,(bxhwgz;(rdhbbm,wzuvpo)))));(!(kjswnr;npvbvo))))",c-inference,z3,rc2
3279,3.0,False,0.0,7531.200000000001,0.4,False,False,randomTest_100_120_61,,"(((!(hzuyok,mhiexv)),(!uwsjcz))|psjcyt)",c-inference,z3,rc2
3054,3.0,True,0.0,7272.3,0.7,False,False,randomTest_100_120_16,,((((ushvad;rohdue);sooxqj);(beoyfl;nthjvb))|zqrqsn),c-inference,z3,rc2
3508,1.0,True,290456.2,5955.8,6188.0,False,False,randomTest_100_120_94,,"(((((!gttapo);(!(ojodne;rfpcta)));zhwwgg);(ryarwb;(!vfjjph)))|((!umlyjl),mtjrcq))",c-inference,z3,rc2
3530,3.0,True,0.0,5768.0,0.5,False,False,randomTest_100_120_96,,"((((zfmkkf,myhalk);jvnwcx);usjwfs)|((!((!(!xstowd));(!(!djavcn))));(((!uxlqve),nbfwze);(gjsxko;(!oezqso)))))",c-inference,z3,rc2
3516,9.0,True,0.0,5698.2,0.5,False,False,randomTest_100_120_94,,((qwgvyx;gobfcx)|((!(xelxrz;(!(!zvfafa))));((!(!dvzqod));(!(!(!amdyjf)))))),c-inference,z3,rc2
3049,8.0,False,0.0,4998.5,0.4,False,False,randomTest_100_120_15,,(fgnztv|(gwrfiw;(!(!(cpjrcm;cvyukh))))),c-inference,z3,rc2
3226,4.0,False,0.0,4683.2,0.6,False,False,randomTest_100_120_52,,"((prcyhx,((wwpxci;bryhth);(!dljqny)))|yaipxd)",c-inference,z3,rc2
3368,6.0,True,0.0,4653.900000000001,0.4,False,False,randomTest_100_120_75,,"((qpfzlm;((lkoiyq;(!hergjh)),lnlelq))|((ymnjfz;(ehoilr;bzqake)),(fxynqr,smzoci)))",c-inference,z3,rc2
3281,5.0,True,0.0,4348.6,0.5,False,False,randomTest_100_120_61,,"(((!uwsjcz);((!(!(!fsspkw)));(!(chrqdi,((!mowqlg),(talgoa;(wbkxqe;nkfzmu)))))))|(nmeiww,(!(!uzmaxz))))",c-inference,z3,rc2
2990,1.0,False,63746.09999999999,3771.2,2200.5,False,False,randomTest_100_120_8,,"((recsxz;(xjcgrk;bnprmo))|((!((vuitrs,mmblyh),(jwlunj;(!iqxmzf)))),(fqlojl;(!xeahfa))))",c-inference,z3,rc2
3318,1.0,False,29423.2,3680.0,1468.0,False,False,randomTest_100_120_66,,"((hfpxfr;(!(fyrvey,khdqqx)))|hsczug)",c-inference,z3,rc2
3138,1.0,False,23361.3,3414.2,1496.2,False,False,randomTest_100_120_30,,(ediaxw|(bgmfnd;(!(crpljr;(pkgxpi;mcfmgz))))),c-inference,z3,rc2
3283,7.0,True,0.0,3318.5,0.4,False,False,randomTest_100_120_61,,"((ybvxyh;(!(vpcdlk,utahvh)))|(((!qhbeir);(((rquahh;sqmasq);gfymhg);yjkzos)),(!nrxbsm)))",c-inference,z3,rc2
3277,1.0,False,28303.6,3281.2,1372.6,False,False,randomTest_100_120_61,,"(((!motbob),(mowqlg,(!(pbpzis,mwkpfp))))|(((frfwdq,(zwgxvo,nmeiww)),yngmmf);(!mgaadw)))",c-inference,z3,rc2
3149,1.0,False,90765.6,3272.6000000000004,2546.1,False,False,randomTest_100_120_32,,"(todvkh|((((efhqjf,pnekws),(beygrg;unhrto));(((wfhnmv;ypdngd),yuvdnw);jzrifs));(!(!(!jkgyko)))))",c-inference,z3,rc2
3495,8.0,False,0.0,3215.9,0.4,False,False,randomTest_100_120_92,,"(((hjprht;(mwjhyb,uuvaft)),((hrwlgi,(bhxlgu,eytrbn)),gyvsnm))|((!qbwmry),vsukbk))",c-inference,z3,rc2
3372,10.0,False,0.0,3191.5,0.4,False,False,randomTest_100_120_75,,"(ateztp|(xspknc,((((pdjujt,mghcwz),(!aunwfm));(!(tpnmqz,aiyjrk))),(ucqmem;(jiypyb,bwsbbq)))))",c-inference,z3,rc2
